---|--------|--------|--------|--------|--------|--------|--------|--------|
   |   x0   |   x1   |   x2   |   x3   |   x4   |   x5   |   x6   |   x7   |
---|--------|--------|--------|--------|--------|--------|--------|--------|
0x | ADD    | ADD    | ADD    | ADD    | ADD    | ADD    | PUSH   | POP    |
   | r/m,r8 |r/m,r16 | r8,r/m |r16,r/m | AL,im8 |AX,im16 | ES     | ES     |
---|--------|--------|--------|--------|--------|--------|--------|--------|
1x | ADC    | ADC    | ADC    | ADC    | ADC    | ADC    | PUSH   | POP    |
   | r/m,r8 |r/m,r16 | r8,r/m |r16,r/m | AL,im8 |AX,im16 | SS     | SS     |
---|--------|--------|--------|--------|--------|--------|--------|--------|
2x | AND    | AND    | AND    | AND    | AND    | AND    | SEG    | DAA    |
   | r/m,r8 |r/m,r16 | r8,r/m |r16,r/m | AL,im8 |AX,im16 | ES     |        |
---|--------|--------|--------|--------|--------|--------|--------|--------|
3x | XOR    | XOR    | XOR    | XOR    | XOR    | XOR    | SEG    | AAA    |
   | r/m,r8 |r/m,r16 | r8,r/m |r16,r/m | AL,im8 |AX,im16 | SS     |        |
---|--------|--------|--------|--------|--------|--------|--------|--------|
4x | INC    | INC    | INC    | INC    | INC    | INC    | INC    | INC    |
   | AX     | CX     | DX     | BX     | SP     | BP     | SI     | DI     |
---|--------|--------|--------|--------|--------|--------|--------|--------|
5x | PUSH   | PUSH   | PUSH   | PUSH   | PUSH   |PUSH    | PUSH   | PUSH   |
   | AX     | CX     | DX     | BX     | SP     |BP      | SI     | DI     |
---|--------|--------|--------|--------|--------|--------|--------|--------|
6x |* PUSHA |* POPA  |* BOUND |        |        |        |        |        |
   |        |        |        |        |        |        |        |        |
---|--------|--------|--------|--------|--------|--------|--------|--------|
7x | JO     | JNO    | JB/    | JNB/   | JE/    | JNE/   | JBE/   | JNBE/  |
   |        |        | JNAE   | JAE    | JZ     | JNZ    | JNA    | JA     |
---|--------|--------|--------|--------|--------|--------|--------|--------|
8x | ArOp1  | ArOp1  | ArOp2  | ArOp2  | TEST   | TEST   | XCHG   | XCHG   |
   |r/m,im8 |r/m,im16|r/m8,im8|rm16,im8|r/m,r8  |r/m,r16 |r8,r/m  |r16,r/m |
---|--------|--------|--------|--------|--------|--------|--------|--------|
9x | NOP    | XCHG   | XCHG   | XCHG   | XCHG   | XCHG   | XCHG   | XCHG   |
